id,Course,OPIc,OPIC,Level
1,400,IH,6,1
2,100,NH,3,1
3,200,IL,4,2
4,300,IM,5,2
5,200,NM,2,1
6,200,NH,3,1
7,400,AM,8,5
8,300,IH,6,2
9,400,IL,4,1
10,200,IL,4,1
11,300,IL,4,1
12,200,IL,4,2
13,400,AL,7,4
14,200,NH,3,1
15,100,NM,2,2
16,300,AL,7,3
17,200,IM,5,1
18,400,IM,5,2
19,200,IL,4,5
20,300,AH,9,5
21,200,IM,5,1
22,200,NH,3,1
23,400,AL,7,5
24,200,NL,1,1
25,300,IM,5,2
26,200,NH,3,1
27,200,AL,7,5
28,400,IH,6,2
29,200,IL,4,1
30,300,IL,4,1
31,400,IM,5,2
32,300,IM,5,1
33,400,IM,5,5
34,400,IL,4,1
35,400,IH,6,3
36,400,IM,5,1
37,200,NH,3,1
38,200,IL,4,1
39,100,NH,3,1
40,300,IL,4,1
41,400,IH,6,4
42,300,IM,5,1
43,200,NH,3,3
44,200,NH,3,1
45,300,IM,5,1
46,200,IM,5,1
47,400,AL,7,3
48,400,AL,7,2
49,200,NH,3,1
50,100,NM,2,1
51,300,IM,5,1
52,300,IM,5,1
53,300,AL,7,3
54,200,NM,2,1
55,300,IL,4,1
56,300,AL,7,3
57,300,IH,6,1
58,200,NH,3,1
59,400,IM,5,2
60,400,IH,6,2
61,400,AL,7,5
62,400,IM,5,1
63,400,IH,6,5
64,200,IM,5,2
65,400,IH,6,3
66,400,IH,6,2
67,400,IH,6,5
68,300,IL,4,1
69,300,IL,4,2
70,200,IL,4,2
71,400,IH,6,4
72,300,IL,4,2
73,300,IM,5,2
74,400,IM,5,2
75,400,IM,5,2
76,400,IL,4,1
77,400,AM,8,2
78,200,IL,4,1
79,100,NM,2,1
80,400,IM,5,1
81,400,NH,3,2
82,100,NH,3,1
83,400,IH,6,4
84,400,NH,3,1
85,400,IH,6,2
86,200,NH,3,1
87,100,NM,2,1
88,300,IM,5,1
89,400,IH,6,2
90,400,IH,6,1
91,100,NH,3,1
92,400,IH,6,3
93,400,IM,5,2
94,100,NH,3,1
95,400,IH,6,1
96,200,IL,4,1
97,100,NL,1,1
98,400,IL,4,1
99,300,IM,5,2
100,400,IH,6,3
101,300,IL,4,1
102,400,IM,5,2
103,400,AM,8,1
104,300,IL,4,1
105,300,NH,3,1
106,400,IL,4,1
107,400,IM,5,3
108,400,AL,7,4
109,200,NH,3,1
110,200,NH,3,1
111,300,IH,6,2
112,100,NL,1,1
113,200,NH,3,1
114,300,IH,6,5
115,300,NH,3,1
116,300,IM,5,1
117,300,IM,5,1
118,300,IL,4,1
119,300,IM,5,2
120,200,NH,3,1
121,400,IH,6,5
122,400,IL,4,1
123,200,IH,6,2
124,300,IM,5,1
125,400,IM,5,1
126,300,IM,5,2
127,100,NM,2,1
128,300,IL,4,1
129,100,NH,3,1
130,200,NH,3,1
131,200,IL,4,5
132,400,IL,4,1
133,400,IL,4,1
134,100,NL,1,1
135,400,NH,3,1
136,200,IL,4,1
137,300,IM,5,2
138,400,AL,7,4
139,200,IM,5,5
140,300,IH,6,2
141,300,IL,4,2
142,200,NH,3,1
143,200,IM,5,1
144,300,IH,6,3
145,400,IL,4,1
146,300,IM,5,1
147,100,NH,3,2
148,400,IL,4,1
149,300,NH,3,1
150,100,NM,2,1
151,300,IL,4,4
152,100,NL,1,1
153,100,NL,1,1
154,300,AL,7,5
155,100,NH,3,1
156,200,IM,5,1
157,100,NM,2,1
158,300,IL,4,1
159,400,IH,6,2
160,400,IM,5,1
161,100,NM,2,1
162,400,IM,5,1
163,400,IH,6,1
164,400,IH,6,2
165,300,AL,7,5
166,200,NM,2,1
167,300,IM,5,2
168,200,IM,5,2
169,300,IL,4,1
170,400,IM,5,5
171,300,IH,6,3
172,400,IL,4,2
173,400,IM,5,1
174,400,IM,5,1
175,300,IL,4,1
176,400,IM,5,3
177,400,IH,6,2
178,400,IH,6,2
179,400,IM,5,1
180,300,IM,5,2
181,200,IL,4,4
182,300,IM,5,1
183,300,IL,4,2
184,300,IM,5,3
185,400,IH,6,5
186,300,IH,6,1
187,300,IH,6,1
188,200,NH,3,1
189,300,IL,4,1
190,200,IL,4,1
191,400,IH,6,1
192,300,NH,3,2
193,300,IL,4,1
194,300,IL,4,2
195,100,NM,2,1
196,300,IM,5,1
197,300,IM,5,1
198,400,IM,5,2
199,300,IL,4,1
200,200,NH,3,2
201,200,NH,3,1
202,100,NM,2,1
203,200,IL,4,1
204,100,NL,1,1
205,400,IL,4,1
206,400,IH,6,1
207,100,NL,1,1
208,300,AL,7,1
209,100,NM,2,5
210,400,AM,8,4
211,200,NH,3,1
212,300,IL,4,4
213,400,IH,6,4
214,200,IM,5,2
215,300,IM,5,2
216,300,IH,6,5
217,300,IM,5,2
218,300,IM,5,3
219,300,IL,4,1
220,300,IM,5,1
221,100,NH,3,2
222,400,IL,4,1
223,300,NH,3,1
224,300,IL,4,2
225,100,NH,3,1
226,100,NM,2,1
227,200,IL,4,1
228,300,IL,4,1
229,300,IM,5,2
230,200,IL,4,3
231,300,IM,5,1
232,300,IH,6,2
233,300,IM,5,1
234,300,IL,4,1
235,300,IM,5,1
236,300,IM,5,2
237,300,IH,6,1
238,200,IM,5,2
239,100,NH,3,1
240,200,IM,5,2
241,200,NH,3,1
242,200,IL,4,1
243,400,IM,5,2
244,400,IH,6,5
245,100,NM,2,1
246,300,IL,4,1
247,400,IM,5,1
248,100,NM,2,1
249,400,IM,5,1
250,300,IM,5,1
251,300,IL,4,2
252,300,IH,6,1
253,300,IL,4,1
254,100,NH,3,1
255,400,IL,4,1
256,200,IL,4,1
257,200,IM,5,1
258,200,IL,4,2
259,200,IM,5,1
260,300,IM,5,1
261,300,IM,5,1
262,400,IL,4,2
263,100,NM,2,1
264,200,NH,3,1
265,200,IL,4,2
266,300,IM,5,1
267,200,IL,4,2
268,300,IM,5,2
269,300,IM,5,2
270,300,IM,5,2
271,300,IL,4,1
272,300,IM,5,2
273,200,IL,4,1
274,300,IL,4,1
275,300,IH,6,4
276,300,IL,4,1
277,300,IM,5,1
278,300,IM,5,5
279,200,NH,3,1
280,200,IL,4,2
281,200,NM,2,1
282,300,IM,5,1
283,300,IM,5,1
284,300,IM,5,2
285,300,IL,4,1
286,200,IL,4,1
287,200,NM,2,1
288,200,IL,4,2
289,300,NH,3,1
290,300,IL,4,2
291,200,IM,5,3
292,300,NH,3,1
293,100,NM,2,1
294,200,IM,5,1
295,300,IM,5,4
296,200,IM,5,1
297,400,IL,4,1
298,200,IL,4,1
299,100,NL,1,1
300,300,IL,4,2
301,300,IH,6,2
302,200,NH,3,1
303,300,IM,5,2
304,300,NH,3,1
305,300,IM,5,2
306,300,IH,6,1
307,100,NH,3,2
308,200,IL,4,1
309,200,IM,5,1
310,100,NH,3,2
311,100,NM,2,1
312,300,IM,5,2
313,200,AL,7,5
314,300,NH,3,1
315,200,NH,3,1
316,200,IM,5,4
317,200,IM,5,2
318,300,NH,3,1
319,100,NH,3,1
320,200,NM,2,1
321,300,IM,5,3
322,200,IM,5,2
323,200,NH,3,1
324,200,NH,3,1
325,100,NM,2,1
326,400,IH,6,1
327,300,IM,5,1
328,300,IL,4,1
329,300,IH,6,1
330,300,IH,6,5
331,200,NH,3,1
332,300,IL,4,1
333,300,AM,8,5
334,300,IM,5,1
335,200,NH,3,1
336,300,IM,5,5
337,300,IM,5,1
338,300,IM,5,2
339,300,IM,5,1
340,100,NM,2,1
341,200,NM,2,1
342,300,IM,5,2
343,200,IL,4,1
344,200,NH,3,1
345,200,NM,2,1
346,300,IM,5,2
347,300,IL,4,2
348,300,IM,5,1
349,300,IM,5,2
350,300,IH,6,3
351,300,IM,5,1
352,300,IM,5,3
353,300,IM,5,1
354,300,IH,6,5
355,300,IM,5,1
356,300,IM,5,2
357,300,IM,5,1
358,300,IM,5,1
359,200,IM,5,1
360,300,IM,5,3
361,300,IL,4,3
362,100,NH,3,1
363,300,IM,5,1
364,300,IL,4,1
365,300,IL,4,2
366,300,IL,4,1
367,100,NM,2,1
368,300,NH,3,2
369,100,IL,4,1
370,100,NM,2,1
371,300,NH,3,1
372,100,NH,3,2
373,300,IH,6,4
374,300,IL,4,1
375,300,NH,3,1
376,300,IH,6,5
377,200,IL,4,1
378,300,IM,5,2
379,200,NM,2,1
380,200,IL,4,2
381,300,IL,4,2
382,300,IM,5,2
383,100,NM,2,1
384,100,NH,3,1
385,200,IL,4,2
386,100,NH,3,1
387,200,IL,4,2
388,300,IL,4,3
389,300,IL,4,1
390,300,IM,5,1
391,200,IM,5,2
392,300,IH,6,2
393,300,IL,4,2
394,100,NH,3,1
395,200,IM,5,1
396,100,NM,2,1
397,300,IM,5,1
398,100,NH,3,1
399,300,NH,3,1
400,300,IH,6,2
401,300,IL,4,2
