,student_id,Gender,Course,OPIc,OPIC,COPIC,Level,pass,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40,Item41,Item42,Item43,Item44,Item45,Item46,Item47,Item48,Item49,Item50,Item1_10,Item11_20,Item21_30,Item31_40,Item41_50,Item1_50,Highest_level
1,A12479352,Female,100,NL,1,-4,1,0,1,2,1,1,3,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,15,1
2,A12658221,Male,200,IL,4,-1,1,0,3,4,4,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,33,1
3,A12711564,Female,200,IL,4,-1,1,1,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,34,NA,NA,NA,73,2
810,A12711564,Female,200,IL,4,-1,2,0,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,34,NA,NA,NA,73,2
4,A12879916,Female,200,IM,5,0,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,4,3,3,4,3,3,39,40,39,38,34,190,5
811,A12879916,Female,200,IM,5,0,2,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,4,3,3,4,3,3,39,40,39,38,34,190,5
1618,A12879916,Female,200,IM,5,0,3,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,4,3,3,4,3,3,39,40,39,38,34,190,5
2425,A12879916,Female,200,IM,5,0,4,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,4,3,3,4,3,3,39,40,39,38,34,190,5
5,A13226298,Male,200,NH,3,-2,1,0,3,4,3,2,2,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,26,1
6,A13320012,Female,200,NM,2,-3,1,0,3,3,4,4,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,31,1
7,A13372909,Female,200,IM,5,0,1,0,4,4,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,32,1
8,A13374921,Female,100,NH,3,-2,1,0,3,4,4,4,4,4,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,37,1
9,A13476635,Male,200,AL,7,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,40,34,NA,154,4
816,A13476635,Male,200,AL,7,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,40,34,NA,154,4
1623,A13476635,Male,200,AL,7,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,40,34,NA,154,4
